,code,detailed_work_activity
14289,47-5012.00,Clean equipment or facilities.
14290,47-5012.00,Install plumbing or piping.
14291,47-5012.00,Assemble products or production equipment.
14292,47-5012.00,Position construction or extraction equipment.
14293,47-5012.00,Collect geological samples.
14294,47-5012.00,Prepare excavation or extraction sites for commissioning or decommissioning.
14295,47-5012.00,Operate detonation equipment.
14296,47-5012.00,Prepare explosives for detonation.
14297,47-5012.00,Dig holes or trenches.
14298,47-5012.00,Position construction forms or molds.
14299,47-5012.00,Pour materials into or on designated areas.
14300,47-5071.00,Clean work sites.
14301,47-5071.00,Install plumbing or piping.
14302,47-5071.00,"Operate cranes, hoists, or other moving or lifting equipment."
14303,47-5071.00,Locate equipment or materials in need of repair or replacement.
14304,47-5071.00,Maintain extraction or excavation equipment.
14305,47-5071.00,Assist skilled construction or extraction personnel.
14306,47-5071.00,Move construction or extraction materials to locations where they are needed.
14307,47-5071.00,Load or unload materials used in construction or extraction.
14308,47-5071.00,Maintain mechanical equipment.
14309,47-5071.00,Assemble products or production equipment.
14310,47-5071.00,Dig holes or trenches.
14311,47-5071.00,Assemble temporary equipment or structures.
14312,47-5071.00,Remove debris or vegetation from work sites.
14313,47-5071.00,Mix substances or compounds needed for work activities.
14314,47-5071.00,Pour materials into or on designated areas.
14315,53-5011.00,"Secure watercraft to docks, wharves or other vessels."
14316,53-5011.00,Inspect material-moving equipment to detect problems.
14317,53-5011.00,Connect hoses to equipment or machinery.
14318,53-5011.00,Control pumps or pumping equipment.
14319,53-5011.00,Monitor equipment gauges or displays to ensure proper operation.
14320,53-5011.00,Record operational or production data.
14321,53-5011.00,Monitor surroundings to detect potential hazards.
14322,53-5011.00,Inspect equipment to ensure proper functioning.
14323,53-5011.00,Maintain professional knowledge or certifications.
14324,53-5011.00,Maintain watercraft engines or machinery.
14325,53-5011.00,Operate ships or other watercraft.
14326,53-5011.00,"Set up material handling gear or equipment, such as rigging, packaging, or temporary structures."
14327,53-5011.00,Verify information or specifications.
14328,53-5011.00,Assist others during emergencies.
14329,53-5011.00,Signal others to coordinate vehicle movement.
14330,53-5011.00,Clean vessels or marine equipment.
14331,53-5011.00,"Load shipments, belongings, or materials."
14332,53-5011.00,Maintain material moving equipment in good working condition.
14333,53-5011.00,Record operational details of travel.
14334,53-5011.00,"Operate cranes, hoists, or other moving or lifting equipment."
14335,53-5011.00,Paint surfaces or equipment.
14336,53-5011.00,Direct maintenance or repair activities.
14337,53-5011.00,Measure the level or depth of water or other liquids.
14338,41-9031.00,Share sales-related or market information with colleagues.
14339,41-9031.00,Sell products or services.
14340,41-9031.00,Implement design or process improvements.
14341,41-9031.00,Discuss design or technical features of products or services with technical personnel.
14342,41-9031.00,Gather customer or product information to determine customer needs.
14343,41-9031.00,Deliver promotional presentations to current or prospective customers.
14344,41-9031.00,Develop content for sales presentations or other materials.
14345,41-9031.00,Explain technical product or service information to customers.
14346,41-9031.00,Contact current or potential customers to promote products or services.
14347,41-9031.00,Prepare sales or other contracts.
14348,41-9031.00,Arrange delivery of goods or services.
14349,41-9031.00,Develop proposals for current or prospective customers.
14350,41-9031.00,Identify potential customers.
14351,41-9031.00,Demonstrate products to consumers.
14352,41-9031.00,Advise customers on the use of products or services.
14353,41-9031.00,Explain financial information to customers.
14354,41-9031.00,Recommend products or services to customers.
14355,41-9031.00,Develop marketing plans or strategies.
14356,41-9031.00,Troubleshoot equipment or systems operation problems.
14357,41-9031.00,Maintain records of sales or other business transactions.
14358,41-9031.00,Monitor market conditions or trends.
14359,41-9031.00,"Prepare financial documents, reports, or budgets."
14360,41-9031.00,Prepare technical or operational reports.
14361,41-9031.00,Attend events to develop professional knowledge.
14362,41-9031.00,Train sales personnel.
14363,11-2022.00,"Direct sales, marketing, or customer service activities."
14364,11-2022.00,Resolve customer complaints or problems.
14365,11-2022.00,Advise customers on technical or procedural issues.
14366,11-2022.00,Analyze financial records or reports to determine state of operations.
14367,11-2022.00,Supervise employees.
14368,11-2022.00,Approve expenditures.
14369,11-2022.00,Determine pricing or monetary policies.
14370,11-2022.00,Prepare operational budgets.
14371,11-2022.00,Conduct opinion surveys or needs assessments.
14372,11-2022.00,"Evaluate potential of products, technologies, or resources."
14373,11-2022.00,Evaluate employee performance.
14374,11-2022.00,Manage human resources activities.
14375,11-2022.00,Establish interpersonal business relationships to facilitate work activities.
14376,11-2022.00,Advise others on business or operational matters.
14377,11-2022.00,Confer with organizational members to accomplish work activities.
14378,11-2022.00,Represent the organization in external relations.
14379,41-3091.00,Monitor market conditions or trends.
14380,41-3091.00,Advise customers on the use of products or services.
14381,41-3091.00,Advise others on business or operational matters.
14382,41-3091.00,Answer customer questions about goods or services.
14383,41-3091.00,"Assess the cost effectiveness of products, projects, or services."
14384,41-3091.00,Attend events to develop professional knowledge.
14385,41-3091.00,Calculate costs of goods or services.
14386,41-3091.00,Contact current or potential customers to promote products or services.
14387,41-3091.00,Develop content for sales presentations or other materials.
14388,41-3091.00,Distribute promotional literature or samples to customers.
14389,41-3091.00,Estimate costs or terms of sales.
14390,41-3091.00,Explain technical product or service information to customers.
14391,41-3091.00,Identify potential customers.
14392,41-3091.00,Maintain records of customer accounts.
14393,41-3091.00,Negotiate prices or other sales terms.
14394,41-3091.00,Prepare sales or other contracts.
14395,41-3091.00,Recommend products or services to customers.
14396,41-3091.00,Study product information to acquire professional knowledge.
14397,41-4012.00,Negotiate prices or other sales terms.
14398,41-4012.00,Purchase stocks of merchandise or supplies.
14399,41-4012.00,Coordinate sales campaigns.
14400,41-4012.00,Monitor inventories of products or materials.
14401,41-4012.00,Set up merchandise displays.
14402,41-4012.00,Stock products or parts.
14403,41-4012.00,Answer customer questions about goods or services.
14404,41-4012.00,Estimate costs or terms of sales.
14405,41-4012.00,Explain technical product or service information to customers.
14406,41-4012.00,Recommend products or services to customers.
14407,41-4012.00,Advise customers on the use of products or services.
14408,41-4012.00,Distribute promotional literature or samples to customers.
14409,41-4012.00,Prepare sales or other contracts.
14410,41-4012.00,Monitor market conditions or trends.
14411,41-4012.00,Study product information to acquire professional knowledge.
14412,41-4012.00,Maintain records of sales or other business transactions.
14413,41-4012.00,"Prepare financial documents, reports, or budgets."
14414,41-4012.00,Develop proposals for current or prospective customers.
14415,41-4012.00,Prepare drawings or diagrams of products or services.
14416,41-4012.00,Contact current or potential customers to promote products or services.
14417,41-4012.00,Demonstrate products to consumers.
14418,41-4012.00,Verify customer credit information.
14419,41-4012.00,"Order materials, supplies, or equipment."
14420,41-4012.00,"Send information, materials or documentation."
14421,41-4012.00,Identify potential customers.
14422,41-4012.00,Arrange delivery of goods or services.
14423,41-4011.00,Negotiate prices or other sales terms.
14424,41-4011.00,Contact current or potential customers to promote products or services.
14425,41-4011.00,Gather customer or product information to determine customer needs.
14426,41-4011.00,Sell products or services.
14427,41-4011.00,Prepare sales or other contracts.
14428,41-4011.00,Process sales or other transactions.
14429,41-4011.00,Maintain records of customer accounts.
14430,41-4011.00,Answer customer questions about goods or services.
14431,41-4011.00,Estimate costs or terms of sales.
14432,41-4011.00,Explain technical product or service information to customers.
14433,41-4011.00,Demonstrate products to consumers.
14434,41-4011.00,Discuss design or technical features of products or services with technical personnel.
14435,41-4011.00,Develop content for sales presentations or other materials.
14436,41-4011.00,Recommend products or services to customers.
14437,41-4011.00,Arrange delivery of goods or services.
14438,41-4011.00,Maintain records of sales or other business transactions.
14439,41-4011.00,"Prepare financial documents, reports, or budgets."
14440,41-4011.00,Identify potential customers.
14441,41-4011.00,Share sales-related or market information with colleagues.
14442,41-4011.00,Coordinate sales campaigns.
14443,41-4011.00,Advise customers on the use of products or services.
14444,41-4011.00,Verify accuracy of records.
14445,41-4011.00,Verify customer credit information.
14446,41-4011.00,Appraise property values.
14447,41-4011.00,Study product information to acquire professional knowledge.
14448,41-4011.00,Distribute promotional literature or samples to customers.
14449,41-4011.00,Stock products or parts.
14450,41-4011.00,Attend events to develop professional knowledge.
14451,41-4011.00,Monitor market conditions or trends.
14452,41-4011.00,Monitor sales activities.
14453,41-4011.00,Deliver promotional presentations to current or prospective customers.
14454,41-4011.00,Explain financial information to customers.
14455,51-7041.00,Measure dimensions of completed products or workpieces to verify conformance to specifications.
14456,51-7041.00,Set equipment controls to meet cutting specifications.
14457,51-7041.00,Mount attachments or tools onto production equipment.
14458,51-7041.00,"Set equipment guides, stops, spacers, or other fixtures."
14459,51-7041.00,Inspect lumber or raw woodstock.
14460,51-7041.00,Trim excess material from workpieces.
14461,51-7041.00,Clear equipment jams.
14462,51-7041.00,Monitor equipment operation to ensure proper functioning.
14463,51-7041.00,Replace worn equipment components.
14464,51-7041.00,Sharpen cutting or grinding tools.
14465,51-7041.00,Operate cutting equipment.
14466,51-7041.00,Maneuver workpieces in equipment during production.
14467,51-7041.00,Count finished products or workpieces.
14468,51-7041.00,"Sort materials or products for processing, storing, shipping, or grading."
14469,51-7041.00,Stack finished items for further processing or shipment.
14470,51-7041.00,Mount materials or workpieces onto production equipment.
14471,51-7041.00,Position raw materials on processing or production equipment.
14472,51-7041.00,"Measure materials to mark reference points, cutting lines, or other indicators."
14473,51-7041.00,Operate woodworking equipment.
14474,51-7041.00,Read work orders or other instructions to determine product specifications or materials requirements.
14475,51-7041.00,Review blueprints or other instructions to determine operational methods or sequences.
14476,51-7041.00,Select production equipment according to product specifications.
14477,51-7041.00,Select production input materials.
14478,51-7041.00,Study blueprints or other instructions to determine equipment setup requirements.
14479,51-7041.00,Cut industrial materials in preparation for fabrication or processing.
14480,51-7041.00,Shape metal workpieces with hammers or other small hand tools.
14481,51-7041.00,Remove products or workpieces from production equipment.
14482,51-7041.00,Clean production equipment.
14483,51-7041.00,Lubricate production equipment.
14484,51-7041.00,Dispose of trash or waste materials.
14485,51-7041.00,Lift materials or workpieces using cranes or other lifting equipment.
14486,33-9094.00,Assist patrons with entering or exiting vehicles or other forms of transportation.
14487,33-9094.00,Assist customers to ensure comfort or safety.
14488,33-9094.00,Communicate with others to coordinate vehicle movement.
14489,33-9094.00,Provide transportation information to passengers or customers.
14490,33-9094.00,Assist disabled or incapacitated individuals.
14491,33-9094.00,Assist motorists or pedestrians.
14492,33-9094.00,Assist passengers during vehicle boarding.
14493,33-9094.00,Assist students with special educational needs.
14494,33-9094.00,Clean vehicles or vehicle components.
14495,33-9094.00,Discuss child development and behavior with parents or guardians.
14496,33-9094.00,Mediate disputes.
14497,33-9094.00,"Monitor student behavior, social development, or health."
14498,33-9094.00,Monitor traffic signals.
14499,33-9094.00,"Notify others of emergencies, problems, or hazards."
14500,33-9094.00,Operate vehicles or material-moving equipment.
14501,33-9094.00,"Provide counsel, comfort, or encouragement to individuals or families."
14502,33-9094.00,Record operational details of travel.
14503,19-3034.00,Administer standardized physical or psychological tests.
14504,19-3034.00,"Collect information from people through observation, interviews, or surveys."
14505,19-3034.00,Interpret research or operational data.
14506,19-3034.00,Prepare scientific or technical reports or presentations.
14507,19-3034.00,Design psychological or educational treatment procedures or programs.
14508,19-3034.00,Counsel clients on mental health or personal achievement.
14509,19-3034.00,Conduct scientific research of organizational behavior or processes.
14510,19-3034.00,Advise others on educational matters.
14511,19-3034.00,Coordinate cross-disciplinary research programs.
14512,19-3034.00,Develop educational programs.
14513,19-3034.00,Attend conferences or workshops to maintain professional knowledge.
14514,19-3034.00,Advise others on healthcare matters.
14515,13-1161.01,Implement advertising or marketing initiatives.
14516,13-1161.01,Collaborate with others to develop or implement marketing strategies.
14517,13-1161.01,Design websites or web applications.
14518,13-1161.01,Analyze website or related online data to track trends or usage.
14519,13-1161.01,Coordinate project activities with other personnel or departments.
14520,13-1161.01,Develop performance metrics or standards related to information technology.
14521,13-1161.01,Analyze market or customer related data.
14522,13-1161.01,Evaluate utility of software or hardware technologies.
14523,13-1161.01,Recommend changes to improve computer or information systems.
14524,13-1161.01,Provide customer service to clients or users.
14525,13-1161.01,Maintain the inventory of equipment.
14526,13-1161.01,Update knowledge about emerging industry or technology trends.
14527,13-1161.01,Coordinate resource procurement activities.
14528,13-1161.01,Write computer programming code.
14529,13-1161.01,Design computer modeling or simulation programs.
14530,13-1161.01,Develop specifications or procedures for website development or maintenance.
14531,13-1161.01,Collaborate with others to determine design specifications or details.
14532,13-1161.01,Prepare graphics or other visual representations of information.
14533,13-1161.01,Develop computer or information security policies or procedures.
14534,13-1161.01,Develop guidelines for system implementation.
14535,25-2031.00,Apply multiple teaching methods.
14536,25-2031.00,Set up classroom materials or equipment.
14537,25-2031.00,Develop instructional objectives.
14538,25-2031.00,Establish rules or policies governing student behavior.
14539,25-2031.00,Maintain student records.
14540,25-2031.00,Modify teaching methods or materials to accommodate student needs.
14541,25-2031.00,Evaluate student work.
14542,25-2031.00,Monitor student performance.
14543,25-2031.00,"Monitor student behavior, social development, or health."
14544,25-2031.00,Discuss problems or issues with supervisors.
14545,25-2031.00,Discuss student progress with parents or guardians.
14546,25-2031.00,Plan educational activities.
14547,25-2031.00,Assign class work to students.
14548,25-2031.00,Administer tests to assess educational needs or progress.
14549,25-2031.00,Prepare tests.
14550,25-2031.00,Create technology-based learning materials.
14551,25-2031.00,Encourage students.
14552,25-2031.00,Enforce rules or policies governing student behavior.
14553,25-2031.00,Teach others to use technology or equipment.
14554,25-2031.00,Assist students with special educational needs.
14555,25-2031.00,Advise students on academic or career matters.
14556,25-2031.00,Develop strategies or programs for students with special needs.
14557,25-2031.00,Collaborate with other teaching professionals to develop educational programs.
14558,25-2031.00,Prepare reports detailing student activities or performance.
14559,25-2031.00,Document lesson plans.
14560,25-2031.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
14561,25-2031.00,Plan experiential learning activities.
14562,25-2031.00,Distribute instructional or library materials.
14563,25-2031.00,"Maintain inventories of materials, equipment, or products."
14564,25-2031.00,Order instructional or library materials or equipment.
14565,25-2031.00,Serve on institutional or departmental committees.
14566,25-2031.00,Supervise school or student activities.
14567,25-2031.00,Coordinate student extracurricular activities.
14568,43-6014.00,Answer telephones to direct calls or provide information.
14569,43-6014.00,Discuss account status or activity with customers or patrons.
14570,43-6014.00,"Greet customers, patrons, or visitors."
14571,43-6014.00,Refer customers to appropriate personnel.
14572,43-6014.00,Execute sales or other financial transactions.
14573,43-6014.00,Enter information into databases or software programs.
14574,43-6014.00,Operate computers or computerized equipment.
14575,43-6014.00,"Collect deposits, payments or fees."
14576,43-6014.00,Operate office equipment.
14577,43-6014.00,Report maintenance or equipment problems to appropriate personnel.
14578,43-6014.00,Record personnel information.
14579,43-6014.00,Select resources needed to accomplish tasks.
14580,43-6014.00,Operate communications equipment or systems.
14581,43-6014.00,Schedule appointments.
14582,43-6014.00,Distribute materials to employees or customers.
14583,43-6014.00,Issue documentation or identification to customers or employees.
14584,43-6014.00,Record information from meetings or other formal proceedings.
14585,43-6014.00,"Prepare documentation for contracts, transactions, or regulatory compliance."
14586,43-6014.00,"Order materials, supplies, or equipment."
14587,43-6014.00,Develop organizational policies or programs.
14588,43-6014.00,Prepare employee work schedules.
14589,43-6014.00,"Send information, materials or documentation."
14590,43-6014.00,Compile data or documentation.
14591,43-6014.00,"Make travel, accommodations, or entertainment arrangements for others."
14592,43-6014.00,Schedule operational activities.
14593,43-6014.00,Distribute incoming mail.
14594,43-6014.00,"Proofread documents, records, or other files to ensure accuracy."
14595,43-6014.00,Route mail to correct destinations.
14596,43-6014.00,"Search files, databases or reference materials to obtain needed information."
14597,43-6014.00,Supervise clerical or administrative personnel.
14598,43-6014.00,Manage clerical or administrative activities.
14599,43-6014.00,Coordinate operational activities.
14600,43-6014.00,Maintain current knowledge related to work activities.
14601,43-6014.00,Train personnel.
14602,43-6014.00,Transcribe spoken or written information.
14603,43-6014.00,Prepare informational or reference materials.
14604,43-6014.00,Develop computer or online applications.
14605,41-3031.00,Negotiate prices or other sales terms.
14606,41-3031.00,Monitor market conditions or trends.
14607,41-3031.00,Maintain records of sales or other business transactions.
14608,41-3031.00,Sell products or services.
14609,41-3031.00,"Prepare financial documents, reports, or budgets."
14610,41-3031.00,Prepare sales or other contracts.
14611,41-3031.00,Process sales or other transactions.
14612,41-3031.00,Gather customer or product information to determine customer needs.
14613,41-3031.00,Explain financial information to customers.
14614,41-3031.00,Develop proposals for current or prospective customers.
14615,41-3031.00,Identify investment opportunities or strategies.
14616,41-3031.00,Develop professional relationships or networks.
14617,41-3031.00,Customize financial products or services to meet customer needs.
14618,41-3031.00,Review accuracy of sales or other transactions.
14619,41-3031.00,Contact current or potential customers to promote products or services.
14620,41-3031.00,Explain technical product or service information to customers.
14621,41-3031.00,Monitor sales activities.
14622,41-3031.00,Supervise sales or support personnel.
14623,41-3031.00,Analyze market conditions or trends.
14624,41-3031.00,Share sales-related or market information with colleagues.
14625,41-3031.00,"Coordinate activities with suppliers, contractors, clients, or other departments."
14626,41-3031.00,Analyze business or financial data.
14627,41-3031.00,Calculate costs of goods or services.
14628,41-3031.00,Estimate costs or terms of sales.
14629,41-3031.00,Gather information in order to provide services to clients.
14630,41-3031.00,Negotiate purchases or contracts.
14631,41-3031.00,Purchase products or services.
14632,49-2098.00,"Install electrical components, equipment, or systems."
14633,49-2098.00,Explain use of products or services.
14634,49-2098.00,"Position equipment using hand tools, power tools, or heavy equipment."
14635,49-2098.00,Repair electrical components.
14636,49-2098.00,Repair electrical circuits or wiring.
14637,49-2098.00,Test electrical circuits or components for proper functioning.
14638,49-2098.00,Inspect equipment to locate or identify electrical problems.
14639,49-2098.00,Lay cables to connect equipment.
14640,49-2098.00,Inspect safety equipment to ensure proper functioning.
14641,49-2098.00,"Drill holes in parts, equipment, or materials."
14642,49-2098.00,"Determine types of equipment, tools, or materials needed for jobs."
14643,49-2098.00,Plan work procedures.
14644,49-2098.00,Document operational activities.
14645,49-2098.00,Confer with customers or users to assess problems.
14646,49-2098.00,Run wiring to connect equipment.
14647,49-2098.00,Adjust equipment to ensure optimal performance.
14648,49-2098.00,Estimate costs for labor or materials.
14649,49-2098.00,Maintain knowledge of current developments in area of expertise.
14650,49-2098.00,"Order materials, supplies, or equipment."
14651,33-9032.00,Block physical access to restricted areas.
14652,33-9032.00,Investigate illegal or suspicious activities.
14653,33-9032.00,Respond to emergencies to provide assistance.
14654,33-9032.00,Monitor access or flow of people to prevent problems.
14655,33-9032.00,Prevent unauthorized individuals from entering restricted areas.
14656,33-9032.00,Write operational reports.
14657,33-9032.00,Operate surveillance equipment to detect suspicious or illegal activities.
14658,33-9032.00,Patrol properties to maintain safety.
14659,33-9032.00,Request emergency personnel.
14660,33-9032.00,Maintain public order or security.
14661,33-9032.00,Provide first aid or rescue assistance in emergencies.
14662,33-9032.00,Use weapons or physical force to maintain security.
14663,33-9032.00,Warn individuals about rule violations or safety concerns.
14664,33-9032.00,Inspect equipment to ensure safety or proper functioning.
14665,33-9032.00,Answer telephones to direct calls or provide information.
14666,33-9032.00,Drive vehicles to transport individuals or equipment.
14667,33-9032.00,Adjust building climate control systems.
14668,13-1199.07,Develop technical specifications for systems or equipment.
14669,13-1199.07,Advise others on business or operational matters.
14670,13-1199.07,Assess risks to business operations.
14671,13-1199.07,Inspect facilities or equipment to ensure specifications are met.
14672,13-1199.07,Analyze budgetary or accounting data.
14673,13-1199.07,Design electronic or computer equipment or instrumentation.
14674,13-1199.07,Develop diagrams or flow charts of system operation.
14675,13-1199.07,"Develop safety standards, policies, or procedures."
14676,13-1199.07,Document information related to legal proceedings.
14677,13-1199.07,Establish organizational guidelines or policies.
14678,13-1199.07,Implement organizational process or policy changes.
14679,13-1199.07,"Inspect facilities to ensure compliance with safety, quality, or service standards."
14680,13-1199.07,Install instrumentation or electronic equipment or systems.
14681,13-1199.07,"Interview witnesses, suspects, or claimants."
14682,13-1199.07,Investigate legal issues.
14683,13-1199.07,Maintain electronic equipment.
14684,13-1199.07,Monitor operations to ensure compliance with safety or security policies or regulations.
14685,13-1199.07,Prepare financial documents.
14686,13-1199.07,Repair electronic equipment.
14687,13-1199.07,Respond to emergencies to provide assistance.
14688,13-1199.07,Supervise employees.
14689,13-1199.07,Train personnel in organizational or compliance procedures.
14690,13-1199.07,Verify accuracy of records.
14691,11-3013.01,Manage organizational security activities.
14692,11-3013.01,"Develop safety standards, policies, or procedures."
14693,11-3013.01,Analyze risks to minimize losses or damages.
14694,11-3013.01,Implement organizational process or policy changes.
14695,11-3013.01,Communicate organizational policies and procedures.
14696,11-3013.01,Monitor organizational compliance with regulations.
14697,11-3013.01,Prepare reports related to compliance matters.
14698,11-3013.01,Analyze financial records to improve efficiency.
14699,11-3013.01,Communicate with government agencies.
14700,11-3013.01,Conduct employee training programs.
14701,11-3013.01,Develop emergency response plans or procedures.
14702,11-3013.01,"Develop operating strategies, plans, or procedures."
14703,11-3013.01,Develop organizational policies or programs.
14704,11-3013.01,Develop procedures to evaluate organizational activities.
14705,11-3013.01,"Direct organizational operations, projects, or services."
14706,11-3013.01,Evaluate employee performance.
14707,11-3013.01,Evaluate program effectiveness.
14708,11-3013.01,Maintain knowledge of current developments in area of expertise.
14709,11-3013.01,Maintain surveillance of individuals or establishments.
14710,11-3013.01,Manage human resources activities.
14711,11-3013.01,Monitor facilities or operational systems.
14712,11-3013.01,Perform human resources activities.
14713,11-3013.01,Prepare operational budgets.
14714,11-3013.01,"Purchase materials, equipment, or other resources."
14715,11-3013.01,Respond to emergencies to provide assistance.
14716,11-3013.01,Supervise employees.
14717,11-3013.01,"Train employees on environmental awareness, conservation, or safety topics."
14718,47-4091.00,Compact materials to create level bases.
14719,47-4091.00,"Spread sand, dirt or other loose materials onto surfaces."
14720,47-4091.00,Move construction or extraction materials to locations where they are needed.
14721,47-4091.00,"Communicate with clients about products, procedures, and policies."
14722,47-4091.00,Align masonry materials.
14723,47-4091.00,"Cut tile, stone, or other masonry materials."
14724,47-4091.00,Create construction or installation diagrams.
14725,47-4091.00,Mark reference points on construction materials.
14726,47-4091.00,Clean work sites.
14727,47-4091.00,Install masonry materials.
14728,47-4091.00,Finish concrete surfaces.
14729,25-3021.00,Apply multiple teaching methods.
14730,25-3021.00,Modify teaching methods or materials to accommodate student needs.
14731,25-3021.00,Encourage students.
14732,25-3021.00,Assess educational needs of students.
14733,25-3021.00,Monitor student performance.
14734,25-3021.00,Maintain student records.
14735,25-3021.00,Evaluate student work.
14736,25-3021.00,Administer tests to assess educational needs or progress.
14737,25-3021.00,Prepare tests.
14738,25-3021.00,Develop instructional objectives.
14739,25-3021.00,Assign class work to students.
14740,25-3021.00,Document lesson plans.
14741,25-3021.00,Teach life skills.
14742,25-3021.00,Collaborate with other teaching professionals to develop educational programs.
14743,25-3021.00,Teach others to use technology or equipment.
14744,25-3021.00,Set up classroom materials or equipment.
14745,25-3021.00,Discuss student progress with parents or guardians.
14746,25-3021.00,Enforce rules or policies governing student behavior.
14747,25-3021.00,Evaluate effectiveness of educational programs.
14748,25-3021.00,Plan educational activities.
14749,25-3021.00,Discuss problems or issues with supervisors.
14750,25-3021.00,Develop strategies or programs for students with special needs.
14751,25-3021.00,Schedule instructional activities.
14752,25-3021.00,Evaluate performance of educational staff.
14753,25-3021.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
14754,25-3021.00,Create technology-based learning materials.
14755,25-3021.00,Plan experiential learning activities.
14756,25-3021.00,Serve on institutional or departmental committees.
14757,25-3021.00,Distribute instructional or library materials.
14758,25-3021.00,Order instructional or library materials or equipment.
14759,25-3021.00,Select educational materials or equipment.
14760,25-3021.00,Promote educational institutions or programs.
14761,25-3021.00,"Write articles, books or other original materials in area of expertise."
14762,51-9141.00,"Enter commands, instructions, or specifications into equipment."
14763,51-9141.00,Measure dimensions of completed products or workpieces to verify conformance to specifications.
14764,51-9141.00,Record operational or production data.
14765,51-9141.00,Assemble precision electronics or optical equipment.
14766,51-9141.00,Adjust flow of electricity to tools or production equipment.
14767,51-9141.00,Adjust temperature controls of ovens or other heating equipment.
14768,51-9141.00,Clean workpieces or finished products.
14769,51-9141.00,Read work orders or other instructions to determine product specifications or materials requirements.
14770,51-9141.00,Review blueprints or other instructions to determine operational methods or sequences.
14771,51-9141.00,Load items into ovens or furnaces.
14772,51-9141.00,Monitor equipment operation to ensure that products are not flawed.
14773,51-9141.00,Load materials into production equipment.
14774,51-9141.00,"Move products, materials, or equipment between work areas."
14775,51-9141.00,Count finished products or workpieces.
14776,51-9141.00,"Sort materials or products for processing, storing, shipping, or grading."
14777,51-9141.00,Weigh finished products.
14778,51-9141.00,"Calculate specific material, equipment, or labor requirements for production."
14779,51-9141.00,Diagnose equipment malfunctions.
14780,51-9141.00,Inspect production equipment.
14781,51-9141.00,Notify others of equipment repair or maintenance needs.
14782,51-9141.00,Mount materials or workpieces onto production equipment.
14783,51-9141.00,Maintain production or processing equipment.
14784,51-9141.00,"Engrave designs, text, or other markings onto materials, workpieces, or products."
14785,51-9141.00,Operate cutting equipment.
14786,51-9141.00,Cut industrial materials in preparation for fabrication or processing.
14787,51-9141.00,Install instrumentation or electronic equipment or systems.
14788,51-9141.00,Assemble equipment or components.
14789,51-9141.00,Measure ingredients or substances to be used in production processes.
14790,51-9141.00,Mix substances to create chemical solutions.
14791,51-9141.00,Operate welding equipment.
14792,51-9012.00,Load materials into production equipment.
14793,51-9012.00,Assess compliance with environmental laws.
14794,51-9012.00,Maintain safety.
14795,51-9012.00,Monitor instruments to ensure proper production conditions.
14796,51-9012.00,Adjust equipment controls to regulate flow of production materials or products.
14797,51-9012.00,Operate mixing equipment.
14798,51-9012.00,Operate pumping systems or equipment.
14799,51-9012.00,Adjust temperature controls of ovens or other heating equipment.
14800,51-9012.00,Test chemical or physical characteristics of materials or products.
14801,51-9012.00,Inspect production equipment.
14802,51-9012.00,Measure ingredients or substances to be used in production processes.
14803,51-9012.00,Collect samples of materials or products for testing.
14804,51-9012.00,Exchange information with colleagues.
14805,51-9012.00,"Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids."
14806,51-9012.00,Clear equipment jams.
14807,51-9012.00,Record operational or production data.
14808,51-9012.00,Install mechanical components in production equipment.
14809,51-9012.00,Maintain production or processing equipment.
14810,51-9012.00,Repair production equipment or tools.
14811,51-9012.00,Clean production equipment.
14812,51-9012.00,Clean work areas.
14813,51-9012.00,Connect supply lines to production equipment or tools.
14814,51-9012.00,"Assemble machine tools, parts, or fixtures."
14815,51-9012.00,Position containers to receive materials or workpieces.
14816,51-9012.00,Package products for storage or shipment.
14817,47-4071.00,Communicate with other construction or extraction personnel to discuss project details.
14818,47-4071.00,Drive trucks or truck-mounted equipment.
14819,47-4071.00,Inspect plumbing systems or fixtures.
14820,47-4071.00,Clean equipment or facilities.
14821,47-4071.00,Record operational or environmental data.
14822,47-4071.00,Maintain plumbing structures or fixtures.
14823,47-4071.00,Measure work site dimensions.
14824,47-4071.00,Locate equipment or materials in need of repair or replacement.
14825,47-4071.00,Maintain construction tools or equipment.
14826,47-4071.00,Decontaminate equipment or sites to remove hazardous or toxic substances.
14827,47-4071.00,Inspect completed work to ensure proper installation.
14828,47-4071.00,Maintain mechanical equipment.
14829,47-4071.00,Install equipment attachments or components.
14830,47-4071.00,Operate heavy-duty construction or installation equipment.
14831,47-4071.00,Dig holes or trenches.
14832,47-4071.00,Edit documents.
14833,47-4071.00,Compact materials to create level bases.
14834,47-4071.00,Cut metal components for installation.
14835,47-4071.00,"Remove worn, damaged or outdated materials from work areas."
14836,47-4071.00,"Spread sand, dirt or other loose materials onto surfaces."
14837,47-4071.00,Order construction or extraction materials or equipment.
14838,47-4071.00,"Break up rock, asphalt, or concrete."
14839,47-4071.00,Drill holes in construction materials.
14840,47-5013.00,Inspect equipment or tools to be used in construction or excavation.
14841,47-5013.00,Maintain extraction or excavation equipment.
14842,47-5013.00,Monitor extraction operations.
14843,47-5013.00,"Operate cranes, hoists, or other moving or lifting equipment."
14844,47-5013.00,Prepare operational reports.
