,Unnamed: 0,title,company,location,description,date_posted,link
789,789,Co-Director - Institute for Cybersecurity and Resilient Infrastructure Science (ICARIS) - CIPHER,Georgia Institute of Technology,United States,", assured software and algorithms, network forensics, malware analysis, hardware and software reverse engineering, advanced analytics, AI/ML for cyber applications, quantum computing and sensing, and energy",about 2 hours ago,https://scholarshipdb.net/jobs-in-United-States/Co-Director-Institute-For-Cybersecurity-And-Resilient-Infrastructure-Science-Icaris-Cipher-Georgia-Institute-Of-Technology=TBNXWiJh7RGUYQAlkGUTnw.html
790,790,Assistant/Associate/Full Professor - Electrical & Computer Engineering,North Carolina State University,United States,"-physical power systems, power electronics packaging and electric machines & drives; and quantum engineering and computing. The department has also identified key strategic application areas",6 days ago,https://scholarshipdb.net/jobs-in-United-States/Assistant-Associate-Full-Professor-Electrical-Computer-Engineering-North-Carolina-State-University=4ZwcYbBh7RGUYQAlkGUTnw.html
791,791,Associate Professor (UHD) in Advanced Cryogenic Technologies,University of Twente (UT),Netherlands,"electron microscopy and quantum technology. A further challenge is to establish cryogenic cooling at minimum size, weight and power. ACT has a development line of micromachined cryogenic coolers specifically","Atlanta, Georgia",https://scholarshipdb.net/jobs-in-Netherlands/Associate-Professor-Uhd-In-Advanced-Cryogenic-Technologies-University-Of-Twente-Ut=J_3PlLBa7RGUYQAlkGUTnw.html
792,792,ASST PROFESSOR,University of Michigan,United States,"a record of outstanding research accomplishment and promise in the fields of electronic, energy, and/or quantum materials. Who We Are Michigan Engineers are world-class educators, researchers",about 16 hours ago,https://scholarshipdb.net/jobs-in-United-States/Asst-Professor-University-Of-Michigan=3BLj241a7RGUYQAlkGUTnw.html
793,793,Doctoral students in Electrical Engineering with research in cryptology (PA2022/3431),University of Lund,Sweden,"methods, such as guaranteeing a time-constant implementation. Study of digital signatures in the field of post-quantum encryption. The work aims to investigate the security of proposed digital signatures","Raleigh, North Carolina",https://scholarshipdb.net/jobs-in-Sweden/Doctoral-Students-In-Electrical-Engineering-With-Research-In-Cryptology-Pa2022-3431-University-Of-Lund=4MzhPFla7RGUYQAlkGUTnw.html
794,794,Program Development/Capture Manager,NASA / USRA,Ireland,", therapeutics, medical devices), consumer products, quantum and advanced data systems, universities, and research centers.  Familiarity with related international markets is a plus. Ability to communicate",about 19 hours ago,https://scholarshipdb.net/jobs-in-Ireland/Program-Development-Capture-Manager-Nasa-Usra=T3CT4bVR7RGUYQAlkGUTnw.html
801,801,Assistant Professor,University of Maryland,United States,"(MC2), the Joint Quantum Institute (JQI), the Joint Center for Quantum Information and Computer Science (QUICS), and the Institute for Research in Electronics and Applied Physics (IREAP). The Department","College Park, Maryland",https://scholarshipdb.net/jobs-in-United-States/Assistant-Professor-University-Of-Maryland=1dwUhohb7RGUYQAlkGUTnw.html
802,802,Postdoctoral Position in General-relativistic Magneto-hydrodynamics of Compact Objects,University of Amsterdam (UvA),Netherlands,nuclear and quantum physicists to include detailed viscous and nuclear effects in these simulations. We will use the outputs from these simulations to predict the ejecta amount and composition and,about 24 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoctoral-Position-In-General-Relativistic-Magneto-Hydrodynamics-Of-Compact-Objects-University-Of-Amsterdam-Uv-A=-DAlj3Vf7RGUYQAlkGUTnw.html
803,803,Postdoctoral Position in General-relativistic Magneto-hydrodynamics of Compact Objects,University of Amsterdam,Netherlands,implementing a viscous GRMHD extension of our well-established Einstein Toolkit GRMHD solver GRHydro following already established formulations. In a second step we will work closely with nuclear and quantum,9 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoctoral-Position-In-General-Relativistic-Magneto-Hydrodynamics-Of-Compact-Objects-University-Of-Amsterdam=eDSUilhf7RGUYQAlkGUTnw.html
804,804,ACADEMIC - Postdoctoral Research Associate,Durham University,United Kingdom,"of the Departments of Mathematical Sciences or Physics. Responsibilities: To play an active role in our research activity in supersymmetric quantum field theory, working with members of the research group and",3 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Academic-Postdoctoral-Research-Associate-Durham-University=sDKqiHpm7RGUYQAlkGUTnw.html
805,805,"Research Associate/ PhD student, Correlated Magnetism: From Frustration To Topology""",TECHNISCHE UNIVERSITAT DRESDEN (TU DRESDEN),United Kingdom,"electron spectroscopy, scanning probe microscopy and spectroscopy, nuclear magnetic resonance measurements, numerical simulations of quantum spin systems, and calculations of thermodynamic and transport","Durham, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-Ph-D-Student-Correlated-Magnetism-From-Frustration-To-Topology-Technische-Universitat-Dresden-Tu-Dresden=Th3kj_lR7RGUYQAlkGUTnw.html
806,806,Postdoctoral Associate,Virginia Tech,United States,on the preparation and photo(electro)chemical characterization of molecularly modified titania surfaces for applications in photocatalysis and quantum sciences. The project will involve the synthesis of small,about 2 hours ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Associate-Virginia-Tech=YZTwBq5Q7RGUYQAlkGUTnw.html
807,807,Research Scientist/Research Software Engineer in High Performance Computing (HPC),Helmholtz,Germany,including large-scale GPU installations and Quantum Computers Comprehensive training courses and individual opportunities for personal and professional further development Ideal conditions for balancing work,"Layer de la Haye, England",https://scholarshipdb.net/jobs-in-Germany/Research-Scientist-Research-Software-Engineer-In-High-Performance-Computing-Hpc-Helmholtz=hXgEBp9Q7RGUYQAlkGUTnw.html
808,808,Payload Engineer,European Space Agency,Netherlands,"/quantum and RF) payload. Duties •    Monitoring the development of the system-level payload concept and the resulting overall payload design and architecture; •    Monitoring the design, development",25 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Payload-Engineer-European-Space-Agency=8h9zwv5P7RGUYQAlkGUTnw.html
809,809,Researcher in Solid State Physics - Theoretical modelling of catalyst and solar cell materials,Uppsala University,Sweden,electricity in a fuel cell will be studied. Special focus will be on high entropy alloys and their surface properties. Quantum mechanical calculations for solar cell materials based on perovskites will also be,"Blacksburg, Virginia",https://scholarshipdb.net/jobs-in-Sweden/Researcher-In-Solid-State-Physics-Theoretical-Modelling-Of-Catalyst-And-Solar-Cell-Materials-Uppsala-University=L4x72c1f7RGUYQAlkGUTnw.html
810,810,Research Associate/ PhD student (m/f/x),TU Dresden,Germany,"electron spectroscopy, scanning probe microscopy and spectroscopy, nuclear magnetic resonance measurements, numerical simulations of quantum spin systems, and calculations of thermodynamic and transport",about 16 hours ago,https://scholarshipdb.net/jobs-in-Germany/Research-Associate-Ph-D-Student-M-F-X-Tu-Dresden=xKRTKmhQ7RGUYQAlkGUTnw.html
816,816,Postdoc positions (f/m/d) | Precision interferometry and fundamental interactions,"Max Planck Institute for Gravitational Physics (Hanover), Hanover",Germany,experiments and ideal candidates have experience and/or a strong interest in laser interferometry and/or quantum optics experiments. Additional postdoctoral positions are or might soon become available in,28 days ago,https://scholarshipdb.net/jobs-in-Germany/Postdoc-Positions-F-M-D-Precision-Interferometry-And-Fundamental-Interactions-Max-Planck-Institute-For-Gravitational-Physics-Hanover-Hanover=YpakRbNP7RGUYQAlkGUTnw.html
817,817,"Assistant Professor, Cryptology",Florida Atlantic University,United States,"the general area of cryptology. Preference will be given to candidates with several broad areas of interest including, but not limited to, mathematical foundations of public-key cryptography, post-quantum","Boca Raton, Florida",https://scholarshipdb.net/jobs-in-United-States/Assistant-Professor-Cryptology-Florida-Atlantic-University=X-DWwPFW7RGUYQAlkGUTnw.html
818,818,Postdoctoral Research Fellow in Theoretical and Computational Chemistry,UiT The Arctic University of Norway,Norway,"The position A Postdoctoral Research Fellow position is available at the Department of Chemistry , Faculty of Sciene and Technology with the research group Hylleraas Centre for Quantum Molecular",about 4 hours ago,https://scholarshipdb.net/jobs-in-Norway/Postdoctoral-Research-Fellow-In-Theoretical-And-Computational-Chemistry-Ui-T-The-Arctic-University-Of-Norway=hVekqKJQ7RGUYQAlkGUTnw.html
819,819,Lecturer (Continuing),University of North Texas at Dallas,United States,"physics, photonics, computational physics, high energy physics, atomic and nuclear physics, plasma physics, theoretical and quantum physics, and astrophysics. With approximately 20 research active faculty",28 days ago,https://scholarshipdb.net/jobs-in-United-States/Lecturer-Continuing-University-Of-North-Texas-At-Dallas=OzJ0xeRW7RGUYQAlkGUTnw.html
820,820,Join us – and share knowledge: The Department of Physics seeks five PhD students,Chalmers University of Technology,Sweden,"no. 20220571 2. PhD student position in theory of dynamics in quantum materials, ref no. 20220575 3. PhD student position in fusion plasma physics, ref no. 20220576 4. PhD student position - Physics and","Denton, Texas",https://scholarshipdb.net/scholarships-in-Sweden/Join-Us-And-Share-Knowledge-The-Department-Of-Physics-Seeks-Five-Ph-D-Students-Chalmers-University-Of-Technology=yaBs4N9W7RGUYQAlkGUTnw.html
821,821,Assistant/Associate Professor of Mathematics,Purdue University,United States,"foundations, quantum computation, and data science.  Research within the Department of Mathematics spans multiple areas of pure and applied mathematics and extends to collaborations with partners across science",about 11 hours ago,https://scholarshipdb.net/jobs-in-United-States/Assistant-Associate-Professor-Of-Mathematics-Purdue-University=9jOdMSZQ7RGUYQAlkGUTnw.html
822,822,Associate Professor,Purdue University,United States,"computational foundations, quantum computation, number theory and data science.  Research within the Department of Mathematics spans multiple areas of pure and applied mathematics and extends to collaborations",3 days ago,https://scholarshipdb.net/jobs-in-United-States/Associate-Professor-Purdue-University=FBzJESZQ7RGUYQAlkGUTnw.html
823,823,Postdoc in Distributed Multi-Antenna Signal Processing and Flexible…,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg",Luxembourg,"of interest include IoT verticals, unmanned aerial vehicles, integrated satellite-space-terrestrial networks, quantum communications and key distribution, spectrum management and coexistence, tactile Internet","West Lafayette, Indiana",https://scholarshipdb.net/jobs-in-Luxembourg/Postdoc-In-Distributed-Multi-Antenna-Signal-Processing-And-Flexible-Interdisciplinary-Centre-For-Security-Reliability-And-Trust-Sn-T-University-Of-Luxembourg=o0hmPC5l7RGUYQAlkGUTnw.html
824,824,Doctoral Candidate (PhD student) in Waveform Design for 6G Integrated…,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg",Luxembourg,"satellite-space-terrestrial networks, quantum communications and key distribution, spectrum management and coexistence, tactile Internet, and autonomous transportation. As far as technical enablers",about 5 hours ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Candidate-Ph-D-Student-In-Waveform-Design-For-6-G-Integrated-Interdisciplinary-Centre-For-Security-Reliability-And-Trust-Sn-T-University-Of-Luxembourg=DkRWNi5l7RGUYQAlkGUTnw.html
825,825,"Dean, Faculty of Science",University of Waterloo,Canada,"such diverse areas as nanotechnology, quantum computing, water resources, and cancer growth, and through participating in numerous Faculty and University research institutes and centres. The Faculty supports","West Lafayette, Indiana",https://scholarshipdb.net/jobs-in-Canada/Dean-Faculty-Of-Science-University-Of-Waterloo=wBbcCqJd7RGUYQAlkGUTnw.html
831,831,"Research Team Leader, Optical Spectroscopy",VTT,Finland,"of technology and engineering from next generation microelectronics and quantum technology to automation and robotics, energy systems and more. Our research agenda is dedicated to creating sustainable growth by",16 days ago,https://scholarshipdb.net/jobs-in-Finland/Research-Team-Leader-Optical-Spectroscopy-Vtt=H8Xrm0Ja7RGUYQAlkGUTnw.html
832,832,Process Engineer,Arizona State University,United States,"-year NSF- and DOE-sponsored QESST (Quantum Energy and Sustainable Solar Technologies) Engineering Research Center (ERC), SPL transitioned in 2021 to ASU’s Knowledge Enterprise as the Solar Fab (SF) Core",1 day ago,https://scholarshipdb.net/jobs-in-United-States/Process-Engineer-Arizona-State-University=u1TkdsZk7RGUYQAlkGUTnw.html
833,833,Lecturer or Senior Lecturer (Physics),Cornell University,United States,"II, PHYS 2213 - Physics II: Electromagnetism, and PHYS 2214 - Physics III: Oscillations, Waves, and Quantum Physics. All course descriptions may be found here.  Teaching assignments rotate semesterly","New York City, New York",https://scholarshipdb.net/jobs-in-United-States/Lecturer-Or-Senior-Lecturer-Physics-Cornell-University=zxhfW6xk7RGUYQAlkGUTnw.html
834,834,PhD position – Computational/Molecular modelling of functional…,Linköping University (LiU),Sweden,"qualifications You have graduated at Master’s level in chemistry/physics/material science or in related fields with a strong background in computational quantum chemistry/physics, or completed courses with a",about 6 hours ago,https://scholarshipdb.net/scholarships-in-Sweden/Ph-D-Position-Computational-Molecular-Modelling-Of-Functional-Link-ping-University-Li-U=AdTRUcZc7RGUYQAlkGUTnw.html
835,835,DI-10 Ph.D. studentship: Development of chemical anti-counterfeiting tags for the protection of...,Tyndall National Institute,Ireland,". High levels of initiative, project management, self-management, achievement-orientation, and motivation are encouraged. Expertise in nanomaterial synthesis and characterisation (i.e. carbon dots, quantum",9 days ago,https://scholarshipdb.net/scholarships-in-Ireland/Di-10-Ph-D-Studentship-Development-Of-Chemical-Anti-Counterfeiting-Tags-For-The-Protection-Of-Tyndall-National-Institute=Z_CeV3pV7RGUYQAlkGUTnw.html
836,836,DI-11 Researcher: Development of chemical anti-counterfeiting tags for the protection of cultural...,Tyndall National Institute,Ireland,"-orientation, and motivation are encouraged. Expertise in nanomaterial synthesis and characterisation (i.e. carbon dots, quantum dot, plasmonic materials, polymer nanowires/nanoparticles etc.), self-assembly","Cork, Munster",https://scholarshipdb.net/jobs-in-Ireland/Di-11-Researcher-Development-Of-Chemical-Anti-Counterfeiting-Tags-For-The-Protection-Of-Cultural-Tyndall-National-Institute=ZpnKZXpV7RGUYQAlkGUTnw.html
837,837,Tenured/Tenure-track Positions in Computer Science,New York University,United States,"Systems, Computer Science Theory, Quantum Computing, Artificial Intelligence and Deep Learning. Application Instructions Applicants will submit a cover letter, curriculum vitae, statement of research, and a",22 days ago,https://scholarshipdb.net/jobs-in-United-States/Tenured-Tenure-Track-Positions-In-Computer-Science-New-York-University=k5UfrwpZ7RGUYQAlkGUTnw.html
838,838,PhD scholarship in Digitalization of R&D and Manufacturing Engineering for Customized Products by using CAD/PLM/ERP/Configurators and Design Automation,Technical University of Denmark,Denmark,"state of the art fiber lasers and photonic crystal fibers – solutions used in Medical & Life Science, Industry, Aerospace & Defense, and Quantum & Nano Technology application areas. NKT Photonics provides","Cork, Munster",https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Scholarship-In-Digitalization-Of-R-D-And-Manufacturing-Engineering-For-Customized-Products-By-Using-Cad-Plm-Erp-Configurators-And-Design-Automation-Technical-University-Of-Denmark=Aoot-Tpk7RGUYQAlkGUTnw.html
839,839,Postdoctoral Research Fellow in Al Trustworthiness and Sustainability Assessment,OsloMet,Norway,"main research areas: “Understandable and explainable models”, “Human Factors in AI”, “Security, safety and reliability”, “Biologically inspired computational systems”, “Quantum AI”. Project overview",22 days ago,https://scholarshipdb.net/jobs-in-Norway/Postdoctoral-Research-Fellow-In-Al-Trustworthiness-And-Sustainability-Assessment-Oslo-Met=h77VLDlk7RGUYQAlkGUTnw.html
840,840,Lecturer/ Senior Lecturer/ Reader: Geo-Energy Systems,University of Glasgow,United Kingdom,"ranked 5th in the UK.  The School has a collegiate and interdisciplinary vision to tackle societal challenges in Healthcare technologies, Quantum and Nanotechnologies, Net Zero and Connecting People. It","China, Maine",https://scholarshipdb.net/jobs-in-United-Kingdom/Lecturer-Senior-Lecturer-Reader-Geo-Energy-Systems-University-Of-Glasgow=1xu1PdFj7RGUYQAlkGUTnw.html
846,846,PhD Research Fellow in Machine Learning for Privacy and Security,University of Oslo,Norway,"research topics include privacy and data protection, cyber threat intelligence, AI applied to cyber security, post-quantum cryptography, and ethical hacking. For more information about the Digital Security",3 days ago,https://scholarshipdb.net/jobs-in-Norway/Ph-D-Research-Fellow-In-Machine-Learning-For-Privacy-And-Security-University-Of-Oslo=vheUDcxj7RGUYQAlkGUTnw.html
847,847,RESEARCHER/POSTDOC,IT4Innovations National Supercomputing Center,Czech,"systems, machine learning and AI, quantum computing, and high performance data analysis (HPDA). An example of such systems is modelling in crisis or traffic management taking into account data uncertainty",22 days ago,https://scholarshipdb.net/jobs-in-Czech/Researcher-Postdoc-It4-Innovations-National-Supercomputing-Center=0O5lSQtV7RGUYQAlkGUTnw.html
848,848,DATA TRANSFERS BACKEND DEVELOPER,IT4Innovations National Supercomputing Center,Czech,or quantum computing. We are seeking several candidates for the Advanced Data Analysis and Simulations Lab to fill the position of Innovation Technology Developer: DATA TRANSFERS BACKEND DEVELOPER Your role,22 days ago,https://scholarshipdb.net/jobs-in-Czech/Data-Transfers-Backend-Developer-It4-Innovations-National-Supercomputing-Center=LMr_VQtV7RGUYQAlkGUTnw.html
849,849,FRONTEND DEVELOPER,IT4Innovations National Supercomputing Center,Czech,or quantum computing. We are seeking several candidates for the Advanced Data Analysis and Simulations Lab to fill the position of Innovation Technology Developer: FRONTEND DEVELOPER Your role: · Development,22 days ago,https://scholarshipdb.net/jobs-in-Czech/Frontend-Developer-It4-Innovations-National-Supercomputing-Center=wjbKYgtV7RGUYQAlkGUTnw.html
850,850,Events Assistant (TEMP),University of Michigan,United States,"nanomaterials, applied and computational electromagnetics, radar remote sensing, solar cells and photovoltaics, quantum computing, ultrafast lasers, optoelectronics, plasma science and engineering, terahertz","Ann Arbor, Michigan",https://scholarshipdb.net/jobs-in-United-States/Events-Assistant-Temp-University-Of-Michigan=0RZMelJc7RGUYQAlkGUTnw.html
851,851,PhD Programme in Optics & Photonics at the Karlsruhe School of Optics & Photonics (KSOP) PhD Programme in Optics & Photonics,Karlsruhe Institute of Technology •,Germany,"photonics. The five KSOP research areas are Photonic Materials and Devices, Quantum Optics & Spectroscopy, Biomedical Photonics, Optical Systems, and Solar Energy. All research areas are strongly interlinked",8 days ago,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Programme-In-Optics-Photonics-At-The-Karlsruhe-School-Of-Optics-Photonics-Ksop-Ph-D-Programme-In-Optics-Photonics-Karlsruhe-Institute-Of-Technology=-pABZK9j7RGUYQAlkGUTnw.html
852,852,AISR Research Services Professional (Open Rank),University of Colorado,United States,"reporting Updating all SOPs for animal imaging Routine maintenance of the Siemens Inveon PET/CT, PerkinElmer Quantum CT and IVIS Spectrum Communicate with research personnel regarding technical issues during","Karlsruhe, Baden W rttemberg",https://scholarshipdb.net/jobs-in-United-States/Aisr-Research-Services-Professional-Open-Rank-University-Of-Colorado=fyrnEAdl7RGUYQAlkGUTnw.html
853,853,Postdoc Position in Artificial Intelligence and Sensor Development for Chemical Processes,Delft University of Technology,Netherlands,"investigators, as well as a population of about 3,400 passionate students, the Faculty of Applied Sciences is an inspiring scientific ecosystem. Focusing on key enabling technologies, such as quantum- and",about 11 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-Position-In-Artificial-Intelligence-And-Sensor-Development-For-Chemical-Processes-Delft-University-Of-Technology=5ZrCT6Vh7RGUYQAlkGUTnw.html
854,854,PhD position in Environmental biotechnology,Delft University of Technology,Netherlands,"technologies, such as quantum- and nanotechnology, photonics, biotechnology, synthetic biology and materials for energy storage and conversion, our faculty aims to provide solutions to important problems","Aurora, Colorado",https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Environmental-Biotechnology-Delft-University-Of-Technology=yX0Kbfhb7RGUYQAlkGUTnw.html
855,855,PhD student Molecular and Cellular Neurobiology,Delft University of Technology,Netherlands,". Focusing on key enabling technologies, such as quantum- and nanotechnology, photonics, biotechnology, synthetic biology and materials for energy storage and conversion, our faculty aims to provide solutions",about 21 hours ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Student-Molecular-And-Cellular-Neurobiology-Delft-University-Of-Technology=ANNTGvdb7RGUYQAlkGUTnw.html
859,859,"Assistant Prof. Computer Science, spec. Algorithms & Complexity Theory",KTH Royal Institute of Technology,Sweden,", combinatorial optimization, communication complexity, distributed algorithms, graph algorithms, quantum algorithms and proof complexity. Duties The work includes research and supervision of doctoral students",about 1 hour ago,https://scholarshipdb.net/jobs-in-Sweden/Assistant-Prof-Computer-Science-Spec-Algorithms-Complexity-Theory-Kth-Royal-Institute-Of-Technology=MxZvS15a7RGUYQAlkGUTnw.html
860,860,Professor / Lecturer in Disordered Systems / Statistics,King's College London,United Kingdom,"applications to Life Sciences (broadly defined). For example, but not exclusively, research interests could be in statistical and quantum mechanics of systems with disorder, Anderson or/and many-body","Strand, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Anchor-Anchor-Professor-Lecturer-In-Disordered-Systems-Statistics-Anchor-King-s-College-London=fQdNcUZa7RGUYQAlkGUTnw.html
861,861,PostDoc for optical diffraction tomography for tumor histology,Delft University of Technology,Netherlands,"scientific ecosystem. Focusing on key enabling technologies, such as quantum- and nanotechnology, photonics, biotechnology, synthetic biology and materials for energy storage and conversion, our faculty aims",about 20 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Post-Doc-For-Optical-Diffraction-Tomography-For-Tumor-Histology-Delft-University-Of-Technology=O4B6taBU7RGUYQAlkGUTnw.html
862,862,POSTDOCTORAL RESEARCH FELLOW IN ASTROPARTICLE PHYSICS,NTNU - Norwegian University of Science and Technology,Norway,"ray and multi-messenger physics, dark matter, active galactic nuclei and quantum chromodynamics. The APP Group is part of the Department of Physics, which currently employs about 180 people. On average",4 days ago,https://scholarshipdb.net/jobs-in-Norway/Postdoctoral-Research-Fellow-In-Astroparticle-Physics-Ntnu-Norwegian-University-Of-Science-And-Technology=U2IC7zBi7RGUYQAlkGUTnw.html
863,863,POSTDOCTORAL RESEARCH FELLOW IN ASTROPHYSICAL FLUID DYNAMICS,NTNU - Norwegian University of Science and Technology,Norway,"objects, cosmic ray and multi-messenger physics, dark matter, active galactic nuclei and quantum chromodynamics. The APP Group is part of the Department of Physics, which currently employs about 180 people",6 days ago,https://scholarshipdb.net/jobs-in-Norway/Postdoctoral-Research-Fellow-In-Astrophysical-Fluid-Dynamics-Ntnu-Norwegian-University-Of-Science-And-Technology=bSlh6DBi7RGUYQAlkGUTnw.html
864,864,Intern in the Research and Payloads Group,European Space Agency,Netherlands,", Moon, and Mars. Projects cover a wide range of Physical Sciences topics like Earth atmospheric measurement, ultraprecise cold atom sensors, quantum information and high-energy particles, soft or complex",5 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Intern-In-The-Research-And-Payloads-Group-European-Space-Agency=eirFVXpZ7RGUYQAlkGUTnw.html
865,865,Intern in the Ground Systems Engineering and Innovation Department,European Space Agency,Netherlands,"-SAT), augmented and virtual reality, deployments in cloud-base architectures, cybersecurity, quantum computing-enabled software, support to research studies and/or international standardisation",8 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Intern-In-The-Ground-Systems-Engineering-And-Innovation-Department-European-Space-Agency=62c9RnlZ7RGUYQAlkGUTnw.html
866,866,Professor / Lecturer in Disordered Systems / Statistics (With Applications to Life Sciences) (Two Posts),King's College London ;,United Kingdom,"), with applications to Life Sciences (broadly defined). For example, but not exclusively, research interests could be in statistical and quantum mechanics of systems with disorder, Anderson or/and many",about 2 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Professor-Lecturer-In-Disordered-Systems-Statistics-With-Applications-To-Life-Sciences-Two-Posts-King-s-College-London=63GRHnxa7RGUYQAlkGUTnw.html
867,867,Research Associate (Postdoc) in RIS (Reflective Intelligent Surfaces) and Phase Arrays Antenna...,University of Luxembourg,Luxembourg,"of supporting new services in a cost-efficient manner. Use cases of interest include IoT verticals, unmanned aerial vehicles, integrated satellite-space-terrestrial networks, quantum communications and key","London, England",https://scholarshipdb.net/jobs-in-Luxembourg/Research-Associate-Postdoc-In-Ris-Reflective-Intelligent-Surfaces-And-Phase-Arrays-Antenna-University-Of-Luxembourg=t4bh0zla7RGUYQAlkGUTnw.html
868,868,Project Manager,National Research Council Canada,Canada,"., AI for Design Challenge program (AI4D), AI for Logistics program (AI4Logistics), Digital Health and Geospatial Analytics program (DHGA), Applied Quantum Computing Challenge program (AQC) Multimedia",15 days ago,https://scholarshipdb.net/scholarships-in-Canada/Project-Manager-National-Research-Council-Canada=d-AG9K5a7RGUYQAlkGUTnw.html
872,872,Project Leader – European Synthetic Cell Initiative,Delft University of Technology,Netherlands,"quantum- and nanotechnology, photonics, biotechnology, synthetic biology and materials for energy storage and conversion, our faculty aims to provide solutions to important problems of the 21st century",3 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Project-Leader-European-Synthetic-Cell-Initiative-Delft-University-Of-Technology=L3jQ289T7RGUYQAlkGUTnw.html
873,873,"Public selection procedure based on qualifications and interview, is announced for the recruitment...",SISSA,Italy,Temporary JOB STATUS Full-time HOURS PER WEEK 36 OFFER DESCRIPTION Migration and optimisation of Quantum ESPRESSO codes on hybrid architecture machines and their interfacing with software for the management,26 days ago,https://scholarshipdb.net/jobs-in-Italy/Public-Selection-Procedure-Based-On-Qualifications-And-Interview-Is-Announced-For-The-Recruitment-Sissa=bMFCywZS7RGUYQAlkGUTnw.html
874,874,"Senior Scientist, Protein Production",VTT,Finland,"community of over 2000 multidisciplinary experts who foster a culture of trust, openness and sharing knowledge. We work truly across disciplines, and house all the cutting-edge sciences from quantum computing",3 days ago,https://scholarshipdb.net/jobs-in-Finland/Senior-Scientist-Protein-Production-Vtt=iuBeNCdk7RGUYQAlkGUTnw.html
875,875,NATS-159-22-R - Research Assistant / Research Associate in Biomedical Optics,University of Kent,United Kingdom,"result of sustained investment. We carry out internationally leading research in Astrophysics and Planetary Science, Applied Optics and Physics of Quantum Materials. Our outreach and public engagement","Canterbury, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Nats-159-22-R-Research-Assistant-Research-Associate-In-Biomedical-Optics-University-Of-Kent=i3I3-lpi7RGUYQAlkGUTnw.html
876,876,Instructional Designer (20),University of Maryland,United States,"for Biomedical Devices (REFBDI), and the Quantum Technology Center (QTC). The innovation and entrepreneurship programs on campus recently brought the University to the top 10 in Entrepreneurship Magazine",about 6 hours ago,https://scholarshipdb.net/jobs-in-United-States/Instructional-Designer-20-University-Of-Maryland=ehlEwlhi7RGUYQAlkGUTnw.html
877,877,Associate Professor (UHD) in Advanced Cryogenic Technologies,University of Twente,Netherlands,"for Big Science projects (such as the Einstein telescope) but also in space-based optical detectors and telescopes, cryo electron microscopy and quantum technology. A further challenge is to establish","College Park, Maryland",https://scholarshipdb.net/jobs-in-Netherlands/Associate-Professor-Uhd-In-Advanced-Cryogenic-Technologies-University-Of-Twente=fxb0EPBh7RGUYQAlkGUTnw.html
878,878,Postdoc Position in Artificial Intelligence and Sensor Development for Chemical Processes,Delft University of Technology (TU Delft),Netherlands,"well as a population of about 3,400 passionate students, the Faculty of Applied Sciences is an inspiring scientific ecosystem. Focusing on key enabling technologies, such as quantum- and nanotechnology",1 day ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-Position-In-Artificial-Intelligence-And-Sensor-Development-For-Chemical-Processes-Delft-University-Of-Technology-Tu-Delft=E0Y8nfJg7RGUYQAlkGUTnw.html
879,879,Postdoc on Electrochemical CO2 capture and compression,Delft University of Technology (TU Delft),Netherlands,", such as quantum- and nanotechnology, photonics, biotechnology, synthetic biology and materials for energy storage and conversion, our faculty aims to provide solutions to important problems of the 21st",about 14 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-On-Electrochemical-Co2-Capture-And-Compression-Delft-University-Of-Technology-Tu-Delft=0bXQivJg7RGUYQAlkGUTnw.html
880,880,Assistant or Associate Professor Unconventional Electronics & Computing Systems,Delft University of Technology,Netherlands,"such as design-for-testability, reliability, and security.  At TU Delft, you’ll be working at the forefront of research on these unconventional electronics and computing systems. The Department of Quantum",7 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-Or-Associate-Professor-Unconventional-Electronics-Computing-Systems-Delft-University-Of-Technology=emMbgLZP7RGUYQAlkGUTnw.html
